filename,worker,CT spam,manual spam,workerCosine,workerDisagreement,sounds,keywordsPerSound,wordsPerSound,charPerSound,wordsPerKeyword,charPerKeyword,charPerWord
2-1-150-f680552.csv,18649173,0,0,0.705,0.746,6,1.0,2.0,12.0,2.0,12.0,6.0
2-1-150-f680552.csv,1924522,0,0,0.879,0.844,24,1.0,1.458,9.417,1.458,9.417,6.457
2-1-150-f680552.csv,23352788,0,0,0.785,0.757,30,1.0,1.9,11.733,1.9,11.733,6.175
2-1-150-f680552.csv,31241093,0,0,0.652,0.713,60,1.267,1.583,9.55,1.25,7.539,6.032
2-1-150-f680552.csv,1894315,0,0,1.0,0.9,6,1.0,1.5,9.5,1.5,9.5,6.333
2-1-150-f680552.csv,31166078,0,0,0.849,0.796,12,1.167,2.083,10.917,1.786,9.357,5.24
2-1-150-f680552.csv,29025907,0,0,0.754,0.786,60,1.767,2.467,15.5,1.396,8.774,6.284
2-1-150-f680552.csv,18504759,0,0,0.899,0.848,12,1.417,1.583,8.75,1.118,6.176,5.526
2-1-150-f680552.csv,29155723,0,0,0.756,0.786,30,1.5,1.8,11.1,1.2,7.4,6.167
2-1-150-f680552.csv,25501111,0,0,0.805,0.791,30,1.3,1.367,7.767,1.051,5.974,5.683
2-1-150-f680552.csv,27903177,0,0,0.787,0.833,3,2.0,3.333,18.667,1.667,9.333,5.6
2-1-150-f680552.csv,18972023,0,0,0.75,0.749,6,2.667,5.333,30.5,2.0,11.438,5.719
2-1-150-f680552.csv,23585686,0,0,0.766,0.755,15,1.133,1.2,6.267,1.059,5.529,5.222
2-1-150-f680552.csv,23340303,0,0,0.702,0.712,3,1.0,2.333,16.0,2.333,16.0,6.857
2-1-150-f680552.csv,15777392,0,0,0.69,0.739,30,1.6,1.933,11.033,1.208,6.896,5.707
2-1-150-f680552.csv,6338946,0,0,0.71,0.705,6,2.167,3.167,17.5,1.462,8.077,5.526
2-1-150-f680552.csv,29139615,0,0,0.772,0.749,21,1.0,4.0,25.524,4.0,25.524,6.381
2-1-150-f680552.csv,30313417,0,0,0.95,0.867,3,2.0,4.667,23.333,2.333,11.667,5.0
