# ----------------------------------------
# Search page
# Search Terms
# 20150316-20150818
# ----------------------------------------

Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
mexico,508,2.94,34.65%,25.87%,00:04:07,<0.01
pot,508,2.15,21.06%,41.32%,00:02:47,<0.01
sewing machine,508,2.06,43.11%,30.21%,00:04:19,0.06
artillery,507,2.94,35.50%,26.49%,00:04:18,0.01
Bass,507,2.44,38.86%,27.54%,00:03:00,0.08
buble,507,1.38,14.99%,66.62%,00:02:00,0.02
Crash,507,1.94,30.37%,39.39%,00:02:08,<0.01
kid laugh,507,2.09,32.94%,35.54%,00:03:33,<0.01
people running,507,2.42,20.32%,37.60%,00:03:39,<0.01
rave,507,2.85,31.36%,27.51%,00:03:31,0.03
ring bell,507,1.81,18.15%,48.69%,00:02:08,0.01
zen,507,2.22,30.18%,34.55%,00:02:45,0.04
cold wind,506,1.99,33.20%,36.25%,00:03:36,<0.01
game background,506,2.75,34.98%,27.53%,00:03:51,0.03
knock on door,506,1.15,4.74%,88.64%,00:00:33,<0.01
low,506,2.37,22.92%,34.72%,00:02:54,0.03
bar ambience,505,2.08,34.85%,35.39%,00:03:53,0.01
outdoor ambience,505,2.08,36.24%,33.68%,00:03:48,0.01
right answer,505,1.38,24.95%,62.41%,00:02:02,0.04
electronic music,504,3.43,48.41%,18.28%,00:05:09,0.04
popup,504,1.41,21.83%,60.06%,00:01:51,0.04
sit down,504,1.84,21.83%,45.47%,00:03:20,<0.01
suitcase,504,2.30,28.77%,36.13%,00:03:20,0.02
tunnel,504,2.59,28.97%,30.16%,00:03:52,0.02
chess,503,1.47,28.23%,57.43%,00:02:16,0.03
horror sound,503,2.71,31.41%,28.21%,00:04:32,<0.01
munch,503,2.33,25.45%,36.29%,00:03:10,0.02
refrigerator,503,1.84,31.21%,40.02%,00:03:42,0.03
work,503,1.89,16.90%,47.53%,00:02:31,0.07
ceiling fan,502,2.06,33.67%,36.34%,00:04:13,<0.01
chopper,502,1.81,21.91%,47.53%,00:02:34,0.02
door handle,502,2.18,28.88%,36.87%,00:04:06,0.02
glass clink,502,1.92,31.47%,38.88%,00:02:57,<0.01
heavy footsteps,502,2.13,24.90%,37.23%,00:03:35,<0.01
plant,502,1.91,17.13%,48.33%,00:02:51,0.05
squeal,502,2.18,17.53%,41.54%,00:02:16,<0.01
air conditioner,501,2.29,34.93%,31.88%,00:04:06,0.02
eraser,501,2.03,44.11%,31.80%,00:03:39,<0.01
f1,501,1.91,31.74%,41.38%,00:02:18,0.02
fair,501,1.97,21.16%,46.20%,00:02:43,0.03
fog,501,1.58,17.96%,56.57%,00:01:57,0.06
scroll,500,2.02,24.00%,42.38%,00:02:44,0.02
uplifting,500,2.15,36.20%,32.25%,00:02:18,0.04
bus stop,499,2.07,27.25%,39.23%,00:04:37,<0.01
licking,499,2.18,25.85%,40.42%,00:03:19,0.01
water running,499,1.70,20.24%,50.83%,00:03:19,0.02
glass crash,498,2.20,32.53%,33.79%,00:03:37,0.02
metal scrape,498,2.47,25.70%,33.06%,00:03:43,0.01
ray,498,1.96,21.49%,45.80%,00:03:09,0.03
sword slash,498,1.94,30.72%,41.05%,00:02:32,0.01
vinyl noise,498,2.16,68.47%,16.67%,00:03:07,0.05
bedroom,497,2.35,28.57%,34.33%,00:03:24,0.01
diamond,497,2.07,27.77%,38.41%,00:02:42,0.02
electric zap,497,2.29,33.40%,32.81%,00:03:14,0.02
elevator door,497,2.17,30.99%,34.54%,00:04:25,0.02
mariachi,497,1.61,44.87%,39.95%,00:03:21,0.02
oink,497,2.09,33.20%,35.00%,00:02:58,0.06
blub,496,1.52,31.05%,50.86%,00:02:43,0.03
clouds,496,1.97,19.56%,43.81%,00:03:02,0.01
funny sounds,496,2.98,26.41%,27.13%,00:03:46,0.04
Guitar,496,2.52,38.91%,27.08%,00:03:29,0.07
viento,496,1.76,27.62%,47.71%,00:03:37,0.05
woof,496,1.56,29.23%,48.52%,00:01:55,0.02
castle,495,2.31,24.44%,36.43%,00:02:51,<0.01
handgun,495,2.02,37.78%,33.63%,00:02:12,<0.01
iphone text,495,1.17,23.84%,71.43%,00:01:25,0.01
life,495,2.17,21.01%,40.06%,00:02:16,0.04
Moaning,495,1.74,31.72%,44.48%,00:01:13,0.02
vroom,495,1.62,19.80%,54.98%,00:02:03,<0.01
wolf whistle,495,1.52,45.45%,39.87%,00:03:05,0.05
door creek,494,1.49,25.10%,55.72%,00:03:07,<0.01
footsteps carpet,494,1.80,34.21%,38.20%,00:04:45,<0.01
wav,494,4.03,50.61%,13.32%,00:03:16,0.10
ambiente,493,1.98,24.54%,43.43%,00:02:36,0.06
disc,493,1.66,22.52%,52.68%,00:01:45,0.17
man talking,493,2.22,35.29%,32.88%,00:02:47,0.04
rocks falling,493,2.25,27.79%,34.39%,00:03:32,<0.01
smashing,493,2.66,20.28%,34.43%,00:03:13,0.02
stopwatch,493,1.40,42.19%,46.53%,00:02:21,0.01
backpack,492,2.19,28.25%,37.64%,00:04:35,<0.01
clicks,492,2.47,25.81%,32.62%,00:03:05,0.06
confetti,492,1.36,21.14%,64.52%,00:01:47,0.02
fizz,492,2.11,28.25%,37.40%,00:03:18,<0.01
mario coin,492,1.56,35.98%,48.17%,00:02:23,0.03
morse code,492,2.06,43.09%,32.02%,00:02:58,0.03
night city,492,1.96,31.50%,36.83%,00:04:07,0.02
whales,492,2.29,39.63%,28.33%,00:03:37,0.04
awesome,491,2.23,25.05%,37.84%,00:02:40,0.04
minions,491,1.82,34.22%,41.95%,00:01:42,0.04
on,491,1.74,20.98%,50.06%,00:01:57,0.02
pip,491,1.69,29.12%,46.27%,00:02:15,0.05
super hero,491,1.27,15.27%,71.68%,00:00:59,0.02
bucket,490,2.53,22.86%,35.67%,00:03:17,0.02
cartoon voice,490,3.70,30.00%,22.37%,00:04:49,0.04
door opens,490,1.91,24.69%,42.80%,00:03:00,<0.01
marching band,490,2.10,41.43%,31.65%,00:03:38,0.01
torture,490,2.68,31.02%,29.45%,00:04:05,0.03
wheelchair,490,1.41,24.69%,60.06%,00:02:35,0.01
startle,489,2.15,60.74%,21.62%,00:02:43,0.02
ape,488,1.69,20.70%,52.36%,00:02:01,0.02
bomb explosion,488,2.54,43.24%,24.90%,00:04:17,0.02
double bass,488,2.55,37.09%,27.86%,00:03:28,0.02
ice crack,488,2.17,33.61%,33.02%,00:03:25,0.03
rats,488,2.78,25.00%,31.57%,00:03:22,0.03
shutdown,488,2.34,35.04%,31.84%,00:03:14,<0.01
spanish guitar,488,2.38,39.14%,30.23%,00:03:49,0.04
basement,487,3.46,27.72%,23.71%,00:04:43,0.03
bycicle,487,1.26,10.47%,74.63%,00:01:37,<0.01
fork,487,2.20,21.15%,41.14%,00:03:13,0.03
sticky,487,2.15,21.15%,42.54%,00:03:28,<0.01
twist,487,1.94,18.48%,46.57%,00:02:37,0.06
boss,486,2.14,34.77%,34.10%,00:02:01,0.01
forest birds,486,2.28,40.53%,28.57%,00:04:14,<0.01
gospel,486,1.88,24.07%,45.72%,00:02:14,0.04
sweeping,486,1.77,29.42%,44.32%,00:03:00,<0.01
timbre,486,1.66,17.49%,55.58%,00:02:04,0.01
bone crack,485,2.21,36.29%,31.25%,00:03:04,0.01
door open close,485,2.31,28.87%,32.98%,00:04:23,<0.01
friction,485,2.47,20.62%,36.98%,00:04:04,0.01
hands,485,2.67,18.76%,33.64%,00:02:56,0.01
jelly,485,1.89,21.65%,47.98%,00:02:47,<0.01
tribal drums,485,2.55,38.56%,26.38%,00:03:55,0.03
drum fill,484,2.86,50.62%,21.07%,00:03:45,0.03
Forest,484,2.23,40.91%,28.69%,00:04:03,0.01
internet,484,2.04,27.89%,39.03%,00:02:47,0.02
purr,484,2.08,38.64%,32.14%,00:03:04,0.02
chest,483,1.96,27.95%,42.22%,00:02:50,<0.01
chuckle,483,2.47,23.19%,34.17%,00:03:37,<0.01
emotional,483,2.47,36.02%,30.29%,00:03:40,0.05
grunting,483,2.10,18.84%,42.35%,00:03:03,<0.01
haunted,483,2.68,28.99%,30.06%,00:03:51,0.03
rattlesnake,482,1.37,22.20%,62.42%,00:01:39,<0.01
snort,482,2.08,19.50%,42.73%,00:02:33,0.01
nightingale,481,2.10,50.73%,26.59%,00:04:12,0.02
phone hang up,481,1.69,40.12%,39.63%,00:02:56,0.01
stress,481,2.01,24.53%,40.58%,00:02:54,0.01
atmos,480,2.31,23.12%,37.60%,00:02:51,0.07
health,480,2.30,24.58%,39.22%,00:03:12,<0.01
mouse squeak,480,1.53,25.62%,55.16%,00:02:26,<0.01
muffled,480,2.38,16.46%,40.21%,00:02:45,<0.01
psychedelic,480,3.00,33.96%,23.78%,00:04:49,0.09
slide projector,480,1.80,66.04%,21.55%,00:02:57,0.05
cat hiss,479,1.75,36.33%,41.17%,00:03:15,<0.01
chatting,479,2.00,17.95%,44.84%,00:02:35,0.02
crunching,479,1.86,22.76%,46.36%,00:02:33,0.02
doctor,479,2.00,17.33%,46.44%,00:02:19,<0.01
rotation,479,2.52,21.29%,35.85%,00:03:57,0.08
triumph,479,1.33,14.61%,68.98%,00:01:29,0.03
vulture,479,1.37,27.97%,58.60%,00:02:17,<0.01
construction site,478,2.33,34.73%,31.66%,00:04:42,0.03
fans,478,1.80,26.57%,46.28%,00:01:53,0.02
gaming,478,3.11,32.43%,24.34%,00:03:01,0.04
guitar loop,478,3.54,39.96%,19.59%,00:05:28,0.02
jail door,478,1.54,35.56%,46.47%,00:02:38,<0.01
kids laugh,478,1.97,30.54%,37.82%,00:03:35,0.01
old clock,478,2.56,33.89%,29.14%,00:04:00,<0.01
silencer gun,478,1.59,74.69%,18.82%,00:02:01,0.02
Train,478,1.94,35.15%,37.76%,00:03:20,0.02
wah wah,478,1.62,17.15%,54.01%,00:01:47,<0.01
wrench,478,2.01,25.94%,42.72%,00:03:53,<0.01
bird flying,477,1.98,22.43%,42.28%,00:03:08,<0.01
hair dryer,477,1.72,40.25%,38.37%,00:03:42,<0.01
minigun,477,1.84,33.54%,42.19%,00:02:42,0.03
parachute,477,1.56,28.93%,49.73%,00:03:03,<0.01
referee,477,1.98,48.64%,29.81%,00:03:13,0.03
ski,477,2.31,30.82%,34.45%,00:03:40,0.04
tired,477,1.82,17.82%,49.42%,00:02:49,0.02
car driving away,476,1.98,33.82%,37.30%,00:04:27,0.02
finger,476,2.29,30.46%,33.27%,00:02:39,0.01
funny sound,476,2.65,25.63%,30.95%,00:03:09,0.01
hits,476,2.36,18.91%,36.15%,00:02:49,<0.01
oil,476,2.05,14.08%,48.98%,00:02:23,<0.01
ball rolling,475,2.26,27.16%,36.28%,00:03:37,0.02
clean,475,1.94,16.42%,47.67%,00:02:36,0.02
yahoo,475,1.56,26.11%,55.33%,00:02:13,0.07
aha,474,1.41,15.40%,66.32%,00:02:10,0.02
branches,474,2.31,18.99%,38.12%,00:03:42,0.02
child scream,474,2.14,29.75%,36.23%,00:03:03,0.01
Happy,474,2.28,32.49%,33.43%,00:02:32,0.03
wine glass,474,2.23,29.96%,34.91%,00:03:33,<0.01
r2d2,473,2.22,42.28%,29.55%,00:02:54,0.07
sinister,473,2.72,27.06%,29.57%,00:04:34,0.01
snarl,473,2.24,24.95%,35.66%,00:02:54,0.01
switch on,473,1.34,23.47%,62.62%,00:01:55,0.02
belt,472,1.94,22.25%,44.01%,00:03:19,<0.01
chalkboard,472,1.49,34.75%,47.66%,00:02:45,0.12
darth vader,472,1.56,40.47%,44.29%,00:02:46,<0.01
public,472,1.71,20.97%,50.56%,00:01:56,0.09
radio music,472,2.11,24.79%,39.98%,00:02:56,<0.01
silly,472,3.11,26.48%,26.24%,00:03:42,0.18
clock alarm,471,1.87,38.00%,35.87%,00:03:44,0.01
concert crowd,471,2.31,39.49%,28.56%,00:03:10,0.05
ding ding,471,2.08,22.29%,40.55%,00:02:30,0.03
electric motor,471,3.05,38.00%,23.14%,00:04:18,0.02
snow storm,471,1.69,28.45%,46.74%,00:02:54,0.01
travel,471,1.84,28.45%,40.90%,00:01:53,0.03
water pour,471,1.81,21.23%,47.36%,00:03:08,0.00
werewolf,471,2.25,31.00%,36.36%,00:03:53,0.04
class,470,1.84,23.40%,48.04%,00:02:32,0.01
crash car,470,1.93,36.81%,35.42%,00:03:39,0.01
Drum,470,2.82,30.64%,27.30%,00:04:02,0.20
glass crack,470,1.83,31.06%,41.65%,00:02:52,0.01
neighborhood,470,2.39,33.40%,32.47%,00:04:06,0.01
pigeons,470,2.63,32.77%,28.68%,00:04:46,<0.01
choke,469,1.94,26.01%,43.47%,00:03:00,0.01
city ambient,469,2.02,34.33%,36.60%,00:03:38,0.02
morse,469,2.22,44.78%,28.05%,00:03:18,0.05
mystical,469,2.77,25.16%,30.90%,00:03:44,0.02
new york city,469,2.30,29.42%,34.04%,00:03:05,0.02
Sword,469,2.82,36.03%,25.64%,00:04:05,<0.01
v8,469,2.58,33.05%,31.16%,00:02:40,0.01
beautiful,468,2.35,22.44%,35.06%,00:02:37,0.04
coffee machine,468,2.01,29.27%,39.11%,00:04:13,0.02
night sounds,468,1.97,25.43%,42.42%,00:04:09,0.02
poo,468,1.65,20.73%,54.42%,00:01:55,0.04
tornado siren,468,1.99,40.60%,33.98%,00:03:29,0.04
cartoon boing,467,1.93,32.98%,39.65%,00:03:21,0.01
church organ,467,2.41,42.18%,28.24%,00:04:03,0.01
cow moo,467,2.30,34.69%,30.75%,00:03:29,0.01
crossbow,467,1.66,30.84%,45.56%,00:03:22,0.03
Crowd,467,2.29,34.90%,32.31%,00:02:50,0.02
Scary,467,2.31,40.69%,29.32%,00:03:19,0.03
scary laugh,467,2.14,31.69%,34.97%,00:03:26,0.02
ambient noise,466,2.11,24.89%,36.55%,00:02:55,0.03
bottles,466,1.87,28.33%,41.38%,00:03:18,<0.01
gun click,466,1.85,33.26%,39.53%,00:03:20,<0.01
paris,466,3.06,30.26%,26.77%,00:04:28,0.09
banana,465,1.74,22.37%,51.36%,00:02:17,0.01
horse walking,465,1.79,35.05%,40.19%,00:03:13,<0.01
interview,465,2.18,33.12%,37.12%,00:02:23,0.02
robot voice,465,3.95,37.63%,18.73%,00:05:27,0.04
wind leaves,465,2.02,35.48%,34.54%,00:03:38,0.02
child crying,464,2.32,24.14%,35.62%,00:03:10,<0.01
dreamy,464,2.53,35.13%,29.39%,00:03:56,0.01
goodbye,464,2.04,33.41%,38.41%,00:02:30,0.01
grito,464,2.18,31.03%,38.87%,00:02:42,0.03
gurgle,464,2.17,23.71%,39.20%,00:02:51,<0.01
heal,464,1.90,15.95%,50.23%,00:02:17,0.03
old telephone,464,1.85,35.99%,36.20%,00:02:39,0.04
racing car,464,2.48,32.97%,31.57%,00:04:04,0.04
rattling,464,2.26,17.24%,39.31%,00:03:13,0.02
tree fall,464,2.12,29.09%,38.01%,00:04:15,0.02
yoga,464,1.98,23.28%,44.38%,00:02:36,<0.01
beethoven,463,1.60,30.67%,52.23%,00:02:11,0.05
jeopardy,463,1.28,41.25%,51.68%,00:02:00,0.02
battlefield,462,2.08,26.84%,40.02%,00:03:00,0.02
car door slam,462,1.82,30.09%,41.90%,00:03:21,0.01
entrance,462,1.74,19.05%,51.06%,00:01:31,0.06
hen,462,1.95,30.95%,39.36%,00:03:30,0.02
horse running,462,1.52,24.03%,56.06%,00:02:58,0.01
transformation,462,2.43,19.91%,35.74%,00:03:35,<0.01
walking on wood,462,1.10,3.68%,91.11%,00:00:20,<0.01
bingo,461,1.33,22.34%,65.69%,00:01:24,0.01
cat purr,461,1.91,42.52%,32.27%,00:03:33,0.03
guitar chord,461,2.66,36.01%,26.95%,00:03:56,0.02
jetpack,461,1.51,30.15%,52.02%,00:02:34,0.54
sprinkler,461,2.08,33.62%,36.74%,00:03:15,0.03
squeaking,461,2.49,18.00%,35.94%,00:03:11,<0.01
clock chime,460,2.95,39.13%,23.12%,00:04:06,0.05
dial up,460,1.65,39.57%,38.76%,00:02:46,0.01
field recording,460,3.30,41.30%,20.21%,00:04:11,0.05
register,460,1.85,36.52%,38.03%,00:03:08,0.01
slow down,459,2.20,28.98%,34.52%,00:02:48,0.02
Walking,459,1.95,32.46%,40.40%,00:03:31,0.02
bricks,458,2.21,24.24%,37.91%,00:03:20,<0.01
missle,458,1.65,24.45%,51.92%,00:02:33,0.03
mix,458,1.74,25.33%,46.31%,00:02:01,0.05
musik,458,1.48,59.83%,31.51%,00:01:44,0.06
old music,458,2.24,25.33%,37.79%,00:03:01,0.01
escape,457,2.07,17.94%,44.56%,00:02:25,0.00
headshot,457,1.35,34.57%,55.18%,00:01:14,0.04
metal squeak,457,2.38,34.35%,30.97%,00:04:40,<0.01
pressure,457,2.15,18.38%,43.70%,00:02:53,0.02
rattle snake,457,1.48,32.17%,51.41%,00:03:03,<0.01
sudden,457,2.42,26.91%,34.84%,00:03:24,0.02
vortex,457,1.53,29.76%,50.78%,00:02:27,0.02
wind up,457,2.04,35.23%,34.26%,00:03:08,0.02
documentary,456,1.98,34.87%,36.73%,00:02:04,0.06
treasure,456,1.98,19.96%,44.96%,00:02:25,0.02
woah,456,1.33,15.35%,71.62%,00:01:34,0.06
ambiant,455,2.24,28.35%,36.02%,00:02:52,<0.01
flick,455,2.02,17.14%,46.25%,00:02:41,0.01
game loop,455,4.23,43.96%,15.18%,00:05:47,0.07
beach waves,454,1.99,42.07%,32.60%,00:03:47,0.03
buildup,454,2.37,37.22%,30.18%,00:03:32,0.02
deez nuts,454,1.17,31.72%,63.60%,00:00:49,0.05
djembe,454,2.62,44.49%,23.68%,00:03:40,0.05
enter,454,1.75,18.06%,49.94%,00:01:57,0.04
knocking door,454,2.03,33.92%,34.64%,00:04:07,0.02
umbrella,454,2.18,25.55%,38.16%,00:04:50,0.01
hit wood,453,2.21,23.62%,37.60%,00:03:56,<0.01
sheet,453,1.81,14.35%,50.85%,00:02:14,0.02
temple,453,2.57,28.92%,31.30%,00:03:38,0.02
jaguar,452,1.41,21.24%,64.31%,00:01:41,0.02
jingle bells,452,1.90,42.04%,34.15%,00:02:40,0.01
poem,452,2.83,48.89%,22.71%,00:04:43,0.08
trumpet fanfare,452,2.62,48.01%,23.27%,00:04:07,0.02
viola,452,2.53,32.74%,29.68%,00:04:00,0.04
dub step,451,2.73,41.46%,24.35%,00:03:42,0.03
reel,451,1.94,28.60%,40.71%,00:02:43,0.04
scream pain,451,1.74,81.15%,11.96%,00:04:35,<0.01
shopping,451,2.03,23.73%,40.81%,00:02:41,0.01
stroke,451,1.86,14.41%,52.81%,00:02:03,0.02
bruh,450,1.24,39.78%,55.91%,00:00:44,0.04
crawl,450,1.73,17.56%,52.38%,00:03:01,0.02
machines,450,2.84,29.33%,27.21%,00:03:57,0.02
pass,450,1.91,15.56%,48.02%,00:01:51,0.04
rustling leaves,450,2.03,33.78%,35.93%,00:03:39,<0.01
soccer ball,450,1.56,32.89%,47.50%,00:03:26,0.03
tibetan,450,3.12,37.11%,22.49%,00:04:09,0.06
come on,449,1.18,20.04%,72.50%,00:00:52,0.04
snake hiss,449,1.61,27.39%,48.55%,00:03:07,<0.01
whimper,449,1.74,17.37%,53.27%,00:02:01,<0.01
Whoosh,449,3.06,41.87%,21.60%,00:04:22,0.05
bird flap,448,2.24,34.38%,32.37%,00:04:46,0.02
metal gate,448,2.36,28.57%,34.18%,00:04:05,<0.01
samurai,448,1.65,21.88%,52.10%,00:02:19,<0.01
slam door,448,1.84,29.69%,40.48%,00:03:23,0.02
barrel,447,2.45,21.92%,37.35%,00:03:09,0.02
fire ball,447,1.36,18.57%,64.36%,00:01:49,0.02
forest sounds,447,2.13,31.99%,35.43%,00:03:48,0.03
klick,447,1.89,30.87%,41.54%,00:02:34,<0.01
light buzz,447,2.09,32.44%,36.30%,00:03:39,<0.01
meeting,447,2.10,22.82%,41.58%,00:02:58,0.02
oooh,447,1.87,20.58%,47.31%,00:02:14,0.01
shiny,447,1.54,22.37%,55.81%,00:01:27,<0.01
time machine,447,2.21,32.66%,34.48%,00:03:30,0.02
tongue,447,2.31,14.77%,41.86%,00:02:55,0.02
turning,447,2.30,11.86%,42.26%,00:02:15,0.05
wood crash,447,2.05,24.83%,40.41%,00:03:44,0.03
boost,446,2.59,26.23%,31.98%,00:02:52,<0.01
cartoon sounds,446,3.43,25.56%,23.91%,00:05:03,0.02
combat,446,2.91,19.96%,30.89%,00:02:33,0.04
dog walking,446,2.46,26.01%,35.28%,00:03:20,<0.01
flame thrower,446,1.59,21.52%,53.60%,00:02:28,0.01
horror sounds,446,3.11,34.53%,23.69%,00:05:04,0.02
tsunami,446,1.52,25.34%,54.59%,00:02:13,0.01
video,446,2.25,29.82%,34.20%,00:02:13,0.15
women scream,446,1.43,18.16%,61.56%,00:01:39,0.01
car accelerating,445,2.39,32.81%,32.30%,00:04:19,0.01
lawnmower,445,1.97,39.33%,33.98%,00:03:47,0.01
mad,445,1.76,16.18%,51.86%,00:02:07,0.01
running steps,445,2.32,25.62%,36.36%,00:04:16,0.02
war horn,445,2.21,34.38%,33.13%,00:03:00,0.02
argh,444,1.42,21.17%,61.87%,00:02:30,<0.01
cartoon run,444,1.41,19.59%,63.52%,00:02:18,0.02
hip hop beat,444,2.53,46.40%,24.09%,00:03:57,0.02
sailing,444,2.48,28.15%,33.94%,00:03:31,0.04
battery,443,1.94,22.35%,42.74%,00:01:57,<0.01
fashion,443,2.11,36.34%,34.65%,00:02:37,0.09
Heartbeat,443,2.57,51.69%,21.58%,00:03:58,0.02
marbles,443,2.47,27.09%,33.00%,00:04:04,0.02
night time,443,1.91,33.18%,38.21%,00:03:30,0.01
piston,443,1.79,22.12%,47.16%,00:03:08,0.03
plug,443,2.19,26.86%,37.98%,00:03:33,0.04
car inside,442,2.56,31.45%,29.82%,00:04:32,<0.01
car pulling up,442,1.50,28.51%,55.87%,00:03:39,0.01
crowd gasp,442,1.57,29.86%,50.00%,00:02:58,0.00
dish,442,2.11,19.68%,42.66%,00:02:50,0.01
fire explosion,442,2.11,30.32%,35.91%,00:03:09,0.02
moon,442,1.95,27.60%,40.95%,00:02:34,0.02
papers,442,1.95,17.19%,46.75%,00:03:53,<0.01
pirates,442,1.93,29.41%,41.03%,00:02:50,0.02
sofa,442,1.81,14.71%,54.00%,00:02:54,<0.01
steps wood,442,1.92,21.72%,44.39%,00:04:07,0.02
what the fuck,442,1.13,11.99%,84.23%,00:00:28,0.01
woman cry,442,1.68,28.51%,46.24%,00:03:43,<0.01
ocean wave,441,2.08,42.40%,29.80%,00:03:36,<0.01
pause,441,2.16,32.20%,34.73%,00:03:03,<0.01
piano key,441,2.64,37.87%,26.74%,00:03:02,<0.01
bye,440,1.97,27.73%,42.96%,00:02:46,0.04
Click,440,2.21,38.18%,30.73%,00:02:55,0.05
phone dialing,440,2.12,31.36%,36.72%,00:03:13,0.02
polaroid,440,1.47,45.00%,42.28%,00:02:08,0.02
Sex sounds,440,2.23,70.00%,17.29%,00:02:33,<0.01
beep beep,439,2.35,23.23%,35.37%,00:02:12,<0.01
bomb whistle,439,1.53,33.94%,46.87%,00:03:05,0.02
burnout,439,1.57,31.89%,49.35%,00:02:55,0.01
computer sounds,439,2.55,36.67%,25.98%,00:03:46,<0.01
Gunshot,439,2.24,45.56%,27.31%,00:03:07,0.02
head,439,2.11,18.68%,41.90%,00:02:27,0.02
pizza,439,1.70,27.79%,48.93%,00:02:21,0.02
stretching,439,1.94,21.41%,44.65%,00:02:50,<0.01
wrestling,439,1.56,19.59%,59.50%,00:02:31,0.02
basket,438,2.04,19.86%,45.70%,00:03:07,<0.01
blood splatter,438,2.04,32.19%,36.58%,00:03:19,0.02
derp,438,1.56,32.42%,51.10%,00:01:48,<0.01
fairy dust,438,1.13,7.99%,88.48%,00:00:46,<0.01
Horse,438,2.40,41.10%,27.59%,00:03:49,0.05
tackle,438,1.16,13.70%,82.35%,00:00:46,<0.01
tetris,438,1.24,31.96%,58.12%,00:01:58,0.02
bongos,437,2.71,32.72%,26.77%,00:04:25,0.02
business,437,1.77,29.75%,43.01%,00:01:20,0.01
dock,437,2.12,18.31%,43.52%,00:02:58,0.01
eletronic,437,1.75,29.06%,44.11%,00:02:03,0.11
ethnic,437,3.72,39.59%,18.41%,00:04:41,0.07
eye,437,2.07,24.71%,40.71%,00:02:57,<0.01
fast wind,437,1.85,18.54%,49.07%,00:03:14,<0.01
kids cheering,437,1.82,34.32%,41.89%,00:02:19,0.03
turbo,437,1.86,29.06%,44.70%,00:02:17,<0.01
bullets,436,2.15,17.89%,42.52%,00:02:43,0.04
koto,436,2.24,43.12%,28.76%,00:03:33,0.04
running away,436,1.98,20.41%,47.10%,00:03:11,<0.01
fence,435,2.51,27.59%,33.64%,00:03:47,0.02
gust of wind,435,1.11,1.84%,91.55%,00:00:31,<0.01
sipping,435,1.74,26.67%,45.45%,00:03:18,<0.01
sunshine,435,1.56,16.78%,59.23%,00:02:39,0.03
take,435,2.03,15.86%,46.83%,00:02:19,<0.01
viking,435,1.69,25.29%,49.80%,00:02:37,0.04
wind sound,435,1.81,28.97%,42.08%,00:04:08,0.01
yummy,435,1.53,21.61%,57.66%,00:02:04,<0.01
cartoon laugh,434,1.97,26.73%,41.15%,00:04:00,0.03
door bang,434,1.99,29.49%,38.84%,00:03:08,0.00
pac man,434,1.67,33.87%,44.21%,00:02:30,0.02
piano melody,434,2.71,36.64%,25.53%,00:04:18,0.06
Siren,434,2.08,38.25%,33.96%,00:02:30,<0.01
violins,434,2.59,29.26%,33.24%,00:04:00,0.02
chipmunk,433,2.46,28.41%,33.27%,00:03:44,0.02
rifle shot,433,2.64,41.57%,24.37%,00:03:42,0.03
stadium crowd,433,2.05,42.49%,31.68%,00:02:47,0.01
wand,433,2.07,28.18%,37.86%,00:03:00,<0.01
wind howl,433,1.94,36.03%,35.60%,00:04:14,<0.01
window breaking,433,1.76,27.71%,43.70%,00:03:21,0.00
girls laughing,432,1.98,27.55%,41.54%,00:03:12,<0.01
hitler,432,1.32,28.94%,59.93%,00:01:48,0.02
Laugh,432,2.11,37.96%,33.37%,00:02:43,0.03
shing,432,1.88,24.31%,46.67%,00:02:17,0.01
coffe,431,1.92,16.47%,46.56%,00:02:43,<0.01
flop,431,1.71,11.83%,55.90%,00:02:00,0.03
illuminati,431,1.35,36.89%,51.20%,00:01:10,0.03
knocking on door,431,1.14,5.57%,87.80%,00:00:25,0.03
car passing by,430,1.80,30.00%,42.91%,00:04:19,0.02
crackling fire,430,1.97,34.42%,36.57%,00:03:46,<0.01
driving car,430,2.26,26.28%,36.69%,00:03:59,<0.01
horse race,430,1.93,31.16%,43.01%,00:03:49,<0.01
nigga,430,1.19,22.79%,67.06%,00:01:05,0.02
plim,430,1.10,10.00%,85.89%,00:00:44,0.07
breakbeat,429,2.63,49.18%,20.88%,00:03:45,0.07
candy,429,2.38,23.54%,39.92%,00:02:48,0.02
cinematic hit,429,2.40,43.82%,25.41%,00:04:25,<0.01
Magic,429,2.85,44.29%,23.30%,00:03:26,0.02
mining,429,2.56,25.64%,34.97%,00:03:17,0.04
space door,429,2.47,38.69%,27.55%,00:04:20,<0.01
chase music,428,1.90,30.14%,41.96%,00:03:11,0.06
line,428,1.37,17.06%,64.05%,00:02:02,<0.01
screen,428,1.76,13.08%,52.59%,00:01:45,0.01
tape recorder,428,2.21,46.73%,27.48%,00:03:07,0.08
teacher,428,2.48,23.36%,36.06%,00:03:50,<0.01
background sound,427,2.02,21.08%,41.71%,00:03:00,0.07
bass kick,427,2.71,33.02%,27.55%,00:04:05,0.03
harmony,427,2.22,24.12%,37.06%,00:02:45,0.04
punk,427,2.74,38.41%,25.43%,00:03:22,0.04
relaxing music,427,2.36,39.34%,28.73%,00:03:26,<0.01
ripping,427,2.41,27.63%,32.78%,00:02:46,<0.01
