# ----------------------------------------
# Search page
# Search Terms
# 20150316-20150818
# ----------------------------------------

Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
laughing,"5,262",2.30,27.96%,34.97%,00:03:00,0.02
people,"5,245",2.23,25.26%,37.63%,00:02:55,0.03
bounce,"5,195",2.56,25.14%,33.08%,00:03:00,0.03
light,"5,160",2.14,18.26%,42.50%,00:02:26,0.03
talking,"5,155",2.34,26.96%,35.40%,00:02:56,0.02
water drop,"5,107",2.37,41.39%,27.65%,00:03:43,0.03
glitch,"5,088",2.95,48.35%,19.96%,00:04:06,0.04
cinematic,"5,087",3.91,43.84%,16.99%,00:05:44,0.07
elevator,"5,080",2.25,30.49%,35.45%,00:03:44,0.02
bells,"5,074",2.57,28.20%,31.64%,00:03:18,0.03
rocket,"5,064",2.59,34.42%,28.99%,00:04:01,0.03
countdown,"5,026",2.86,39.87%,25.75%,00:03:37,0.03
doorbell,"5,012",2.30,47.09%,26.52%,00:03:41,0.02
rewind,"4,995",2.30,56.20%,23.08%,00:03:29,0.03
crying,"4,990",2.34,29.20%,34.44%,00:03:21,0.02
owl,"4,982",2.46,35.63%,30.01%,00:04:15,0.03
phone ring,"4,976",2.09,38.12%,33.04%,00:03:11,0.02
splat,"4,975",2.47,34.87%,30.94%,00:03:44,0.01
door slam,"4,971",2.12,33.70%,34.47%,00:03:32,0.02
buzzer,"4,942",2.23,39.07%,32.20%,00:02:55,0.02
knife,"4,933",2.28,23.23%,38.94%,00:03:17,0.01
harp,"4,925",2.69,36.04%,27.42%,00:03:52,0.03
door opening,"4,917",2.17,23.94%,39.19%,00:03:33,0.01
knock,"4,881",2.06,33.11%,36.19%,00:03:23,0.03
alarm clock,"4,867",2.14,42.82%,30.17%,00:03:53,0.03
vocal,"4,828",3.39,50.29%,16.31%,00:03:47,0.06
wolf,"4,828",2.37,37.92%,30.21%,00:03:40,0.03
ring,"4,827",2.06,23.06%,40.40%,00:02:10,0.03
creepy,"4,819",2.77,32.68%,27.08%,00:04:19,0.04
park,"4,806",2.07,34.46%,35.99%,00:03:48,0.02
flash,"4,800",2.18,23.42%,39.14%,00:02:42,0.02
screaming,"4,771",2.24,26.56%,37.32%,00:02:59,0.02
cricket,"4,750",2.15,43.71%,29.39%,00:03:32,0.02
choir,"4,723",3.02,43.24%,22.11%,00:04:22,0.04
fly,"4,722",1.93,28.08%,41.16%,00:02:47,0.02
hammer,"4,708",2.23,27.97%,36.06%,00:03:20,0.03
laughter,"4,685",2.73,29.73%,29.32%,00:03:25,0.02
computer,"4,679",2.83,26.39%,28.93%,00:03:23,0.03
ambulance,"4,665",2.26,40.86%,31.00%,00:03:56,0.02
car engine,"4,660",2.60,31.85%,30.10%,00:03:53,0.02
machine gun,"4,651",2.49,37.71%,28.79%,00:03:53,0.02
seagull,"4,646",2.52,44.40%,25.25%,00:04:16,0.02
smash,"4,625",2.47,23.29%,35.10%,00:03:00,0.02
water splash,"4,574",2.56,32.33%,30.18%,00:03:46,0.01
iphone,"4,573",1.97,25.15%,45.36%,00:02:10,0.01
clapping,"4,569",2.08,41.28%,32.25%,00:02:59,0.02
eating,"4,542",2.57,25.36%,35.40%,00:03:21,<0.01
spring,"4,539",2.07,20.11%,42.42%,00:02:30,0.02
hospital,"4,512",3.06,38.12%,24.98%,00:04:22,0.02
air,"4,510",2.28,20.95%,38.34%,00:02:40,0.03
room tone,"4,496",2.43,44.93%,26.91%,00:04:25,0.02
foot steps,"4,482",2.41,26.26%,36.73%,00:04:11,0.01
notification,"4,479",3.21,49.90%,18.61%,00:03:37,0.04
children,"4,463",2.58,31.14%,30.15%,00:03:18,0.03
break,"4,455",2.05,19.51%,42.60%,00:01:56,0.02
ghost,"4,429",2.63,36.42%,28.10%,00:04:18,0.02
Sex,"4,415",3.09,78.14%,9.77%,00:03:35,0.01
crack,"4,399",2.66,25.35%,32.33%,00:03:02,0.02
alert,"4,388",3.29,41.25%,20.85%,00:03:35,0.03
seagulls,"4,388",2.27,41.09%,29.92%,00:04:04,0.03
alien,"4,386",2.63,30.37%,29.75%,00:03:29,0.04
kiss,"4,368",2.23,40.52%,31.66%,00:03:40,0.03
bubbles,"4,357",2.25,34.45%,32.62%,00:03:52,0.03
car door,"4,317",1.87,27.75%,42.33%,00:03:39,0.02
flute,"4,303",2.63,33.53%,29.87%,00:03:43,0.03
crow,"4,285",2.38,39.04%,29.32%,00:04:23,0.02
